1	1970	Male	1	1	1	0			39		
2	1973	Male	1	1	1	1			36		
3	1972	Male	1	1	1	1			37		
4	1974	Male	1	1	1	1			35		
5	1973	Male	1	1	1	1			36		172
6	1974	Male	1	1	1	1			35		
7	1970	Male	1	0	0	0			39		
8	1959	Male	1	1	1	1			50		
9	1982	Male	1	1	1	1			27		
10	1981	Femal	e	1	1	1	1		28		
11	1980	Male	1	1	1	1			29		
12	1977	Male	1	0	0	1			32		
13	1975	Male	1	1	1	0			34		
14	1984	Male	1	1	1	1			25		
15	1981	Femal	e	1	1	1	1		28		
16	1979	Femal	e	1	0	1	1		30		
17	1981	Male	1	1	1	1			28		
18	1973	Male	1	1	1	1			36		
19	1975	Male	1	1	1	1			34		
20	1978	Male	1	1	1	1			31		
21	1970	Male	1	1	0	1			39		
22	1972	Male	1	1	1	1			37		
23	1967	Male	1	1	1	1			42		
24	1975	Femal	e	1	0	0	1		34		
25	1975	Male	1	1	0	0			34		
26	1975	Male	1	0	0	1			34		
27	1978	Male	1	1	1	1			31		
28	1980	Male	1	1	1	1			29		
29	1982	Male	1	1	1	1			27		
30	1979	Male	1	0	1	1			30		
31	1979	Femal	e	1	0	1	1		30		
32	1976	Male	1	1	1	0			33		
33	1973	Male	1	1	1	1			36		
34	1979	Male	1	1	1	1			30		
35	1972	Male	1	1	1	1			37		
36	1983	Male	1	1	1	1			26		
37	1983	Femal	e	1	1	0	1		26		
38	1981	Male	1	1	1	1			28		
39	1980	Femal	e	1	1	1	0		29		
40	1973	Male	1	1	1	1			36		
41	1978	Male	1	1	1	1			31		
42	1981	Male	1	1	1	1			28		
43	1977	Male	1	1	1	1			32		
44	1968	Femal	e	1	1	1	1		41		
45	1982	Femal	e	1	0	0	0		27		
46	1960	Femal	e	1	1	1	1		49		
47	1954	Femal	e	1	1	1	1		55		
48	1979	Male	1	1	1	1			30		
49	1982	Femal	e	1	1	1	1		27		
50	1981	Male	1	1	1	1			28		
51	1949	Femal	e	1	0	1	1		60		
52	1981	Male	1	1	1	1			28		
53	1982	Male	1	1	1	1			27		
54	1982	Male	1	1	1	1			27		
55	1976	Femal	e	1	1	1	1		33		
56	1938	Male	1	1	1	1			71		
57	1969	Male	1	1	1	1			40		
58	1983	Male	1	0	0	0			26		
59	1980	Male	1	0	0	0			29		
60	1981	Male	1	0	0	0			28		
61	1982	Femal	e	1	0	0	0		27		
62	1977	Femal	e	1	1	1	1		32		
63	1982	Femal	e	1	0	1	1		27		
64	1979	Male	1	1	1	1			30		
65	1984	Male	1	1	1	0			25		
66	1981	Male	1	0	0	1			28		
67	1975	Male	1	1	1	1			34		
68	1976	Femal	e	1	1	1	1		33		
69	1975	Femal	e	1	1	1	1		34		
70	1965	Male	1	1	1	1			44		
71	1971	Male	1	1	1	1			38		
72	1981	Male	1	0	0	0			28		
73	1977	Male	1	1	0	1			32		
74	1977	Femal	e	1	1	1	1		32		
75	1965	Male	1	0	1	1			44		
76	1975	Femal	e	1	1	1	1		34		
77	1974	Male	1	1	0	1			35		
78	1982	Male	1	1	1	1			27		
79	1938	Femal	e	1	1	1	1		71		
80	1973	Male	1	1	1	1			36		
81	1976	Male	1	0	0	0			33		
82	1982	Femal	e	1	0	0	0		27		
83	1982	Male	1	1	1	1			27		
84	1962	Male	1	1	0	1			47		
85	1971	Male	1	1	1	1			38		
86	1954	Male	1	0	0	1			55		
87	1979	Male	1	0	0	0			30		
88	1975	Femal	e	1	0	0	0		34		
89	1981	Male	1	0	0	0			28		
90	1975	Male	1	1	1	0			34		
91	1945	Male	1	0	0	1			64		
92	1978	Femal	e	1	0	0	0		31		
93	1980	Male	1	0	0	1			29		
94	1981	Male	1	1	0	0			28		
95	1977	Male	1	1	1	0			32		
96	1974	Male	1	0	1	1			35		
97	1954	Male	1	1	1	1			55		
98	1972	Male	1	1	0	0			37		
99	1977	Male	1	1	0	1			32		
100	1967	Male	1	1	1	1			42		
101	1979	Male	1	0	0	0			30		
102	1979	Femal	e	1	1	1	1		30		
103	1973	Femal	e	1	1	1	1		36		
104	1968	Male	1	1	1	1			41		
105	1979	Male	1	1	1	1			30		
106	1983	Male	1	1	1	1			26		
107	1977	Male	1	1	1	1			32		
108	1978	Male	1	1	1	1			31		
109	1979	Femal	e	1	0	1	0		30		
110	1987	Male	1	1	1	1			22		
111	1985	Male	1	1	1	1			24		
112	1986	Male	1	1	1	1			23		
113	1981	Male	1	0	1	1			28		
114	1978	Male	1	0	1	1			31		
115	1980	Femal	e	1	1	1	1		29		
116	1975	Male	1	1	1	1			34		
117	1955	Male	1	1	1	1			54		
118	1961	Femal	e	1	1	1	1		48		
119	1981	Male	1	0	0	0			28		
120	1981	Femal	e	1	0	1	0		28		
121	1972	Male	1	0	0	0			37		
122	1981	Male	1	1	1	1			28		
123	1958	Femal	e	1	1	1	1		51		
124	1971	Male	1	1	1	1			38		
125	1978	Male	1	1	1	1			31		
126	1983	Femal	e	1	1	1	1		26		
127	1977	Male	1	1	1	1			32		
128	1974	Male	1	1	1	1			35		
129	1981	Femal	e	1	1	1	1		28		
130	1980	Male	1	1	0	1			29		
131	1980	Femal	e	1	1	1	1		29		
132	1955	Femal	e	1	1	1	1		54		
133	1966	Male	1	1	1	1			43		
134	1983	Femal	e	1	0	0	0		26		
135	1978	Male	1	0	0	1			31		
136	1968	Male	1	1	0	1			41		
137	1981	Male	1	1	1	1			28		
138	1971	Femal	e	1	1	1	1		38		
139	1983	Femal	e	1	1	1	1		26		
140	1984	Femal	e	1	0	0	0		25		
141	1985	Male	1	0	0	0			24		
142	1985	Femal	e	1	0	0	0		24		
143	1979	Male	1	1	1	1			30		
144	1982	Male	1	0	0	1			27		
145	1974	Male	1	1	1	1			35		
146	1978	Male	1	0	0	0			31		
147	1980	Male	1	0	0	1			29		
148	1974	Femal	e	1	1	0	1		35		
149	1976	Male	1	1	1	1			33		
150	1978	Male	1	1	1	1			31		
151	1976	Male	1	1	0	1			33		
152	1985	Male	1	0	0	0			24		
153	1985	Femal	e	1	1	0	1		24		
154	1969	Male	1	1	0	0			40		
155	1983	Male	1	0	0	0			26		
156	1980	Male	1	1	1	1			29		
157	1973	Male	1	1	1	1			36		
158	1971	Femal	e	1	1	1	0		38		
159	1984	Male	1	1	0	0			25		
160	1977	Male	1	0	0	0			32		
161	1976	Femal	e	1	1	1	1		33		
162	1978	Male	1	0	1	1			31		
163	1985	Male	1	1	0	0			24		
164	1985	Male	1	0	0	1			24		
165	1983	Male	1	0	0	0			26		
166	1983	Male	1	1	0	0			26		
167	1985	Femal	e	1	1	1	1		24		
168	1978	Male	1	1	1	1			31		
169	1985	Femal	e	1	1	1	1		24		
170	1955	Femal	e	1	1	1	1		54		
171	1985	Femal	e	1	0	0	0		24		
172	1985	Femal	e	1	0	1	1		24		
173	1984	Male	1	0	0	0			25		
174	1983	Femal	e	1	0	0	0		26		
175	1985	Male	1	1	1	1			24		
176	1984	Male	1	0	0	0			25		
177	1973	Femal	e	1	1	1	1		36		
178	1978	Male	1	1	1	1			31		
179	1986	Male	1	0	0	0			23		
180	1978	Femal	e	1	0	0	0		31		
181	1958	Femal	e	1	1	1	1		51		
182	1983	Femal	e	1	0	0	1		26		
